Generated Description,Reviewed Description,Code,Type,Split
,"Display the text “Alice and Bob” in large font on the screen, then animate it being erased in reverse, as if unwriting it.","from manim import *

class UnwriteReverseTrue(Scene):
    def construct(self):
        text = Tex(""Alice and Bob"").scale(3)
        self.add(text)
        self.play(Unwrite(text))",Basic,train
,"Display a five-pointed star (pentagram) with evenly spaced points, sized with a radius of 2 units. The star is centered on the screen and shown with default styling.","from manim import *

class RegularPolygramExample(Scene):
    def construct(self):
        pentagram = RegularPolygram(5, radius=2)
        self.add(pentagram)",Basic,train
,"Display a square by fading it in. Then, rotate the square 45 degrees. Finally, fade the square out and pause for one second.","from manim import *

class SomeAnimations(Scene):
    def construct(self):
        square = Square()

        # some animations display mobjects, ...
        self.play(FadeIn(square))

        # ... some move or rotate mobjects around...
        self.play(Rotate(square, PI/4))

        # some animations remove mobjects from the screen
        self.play(FadeOut(square))

        self.wait(1)",Basic,train
,"Display three large rectangles vertically aligned on the left side of the screen. After they fade in, each rectangle transforms into a small filled circle on the right side using different fade styles:

- The top rectangle stretches as it fades into the circle.
- The middle rectangle fades into the circle without stretching and without dimming to match the target.
- The bottom rectangle fades into the circle without stretching but dims to match the target's brightness.

Finally, all objects fade out together.","from manim import *

class DifferentFadeTransforms(Scene):
    def construct(self):
        starts = [Rectangle(width=4, height=1) for _ in range(3)]
        VGroup(*starts).arrange(DOWN, buff=1).shift(3*LEFT)
        targets = [Circle(fill_opacity=1).scale(0.25) for _ in range(3)]
        VGroup(*targets).arrange(DOWN, buff=1).shift(3*RIGHT)

        self.play(*[FadeIn(s) for s in starts])
        self.play(
            FadeTransform(starts[0], targets[0], stretch=True),
            FadeTransform(starts[1], targets[1], stretch=False, dim_to_match=0),
            FadeTransform(starts[2], targets[2], stretch=False, dim_to_match=1)
        )

        self.play(*[FadeOut(mobj) for mobj in self.mobjects])",Intermediate,train
,"Display a set of coordinate axes with a blue curve representing the implicit equation \( y(x - y)^2 - 4x - 8 = 0 \). The curve is plotted based on the relationship between \( x \) and \( y \) without explicitly solving for one variable in terms of the other, illustrating the shape defined by the implicit function.","from manim import *

class ImplicitExample(Scene):
    def construct(self):
        ax = Axes()
        a = ax.plot_implicit_curve(
            lambda x, y: y * (x - y) ** 2 - 4 * x - 8, color=BLUE
        )
        self.add(ax, a)",Intermediate,train
,"Display five horizontal groups of four dots each, labeled with different `lag_ratio` values: 0, 0.1, 0.5, 1, and 2. Each group shifts downward with a staggered animation based on its `lag_ratio`—lower values animate more simultaneously, while higher values animate more sequentially. Then, all groups shift upward together with a slight delay between each group due to a recursive `lag_ratio`.","from manim import *

class LagRatios(Scene):
    def construct(self):
        ratios = [0, 0.1, 0.5, 1, 2]  # demonstrated lag_ratios

        # Create dot groups
        group = VGroup(*[Dot() for _ in range(4)]).arrange_submobjects()
        groups = VGroup(*[group.copy() for _ in ratios]).arrange_submobjects(buff=1)
        self.add(groups)

        # Label groups
        self.add(Text(""lag_ratio = "", font_size=36).next_to(groups, UP, buff=1.5))
        for group, ratio in zip(groups, ratios):
            self.add(Text(str(ratio), font_size=36).next_to(group, UP))

        #Animate groups with different lag_ratios
        self.play(AnimationGroup(*[
            group.animate(lag_ratio=ratio, run_time=1.5).shift(DOWN * 2)
            for group, ratio in zip(groups, ratios)
        ]))

        # lag_ratio also works recursively on nested submobjects:
        self.play(groups.animate(run_time=1, lag_ratio=0.1).shift(UP * 2))",Intermediate,train
,"Display a red-filled square on the screen. Animate the square changing its fill color to white. Then, simultaneously move the square upward and rotate it 60 degrees. Pause for one second after each animation.","from manim import *

class AnimateExample(Scene):
    def construct(self):
        square = Square().set_fill(RED, opacity=1.0)
        self.add(square)

        # animate the change of color
        self.play(square.animate.set_fill(WHITE))
        self.wait(1)

        # animate the change of position and the rotation at the same time
        self.play(square.animate.shift(UP).rotate(PI / 3))
        self.wait(1)",Basic,train
,"Display a row of green quarter-circle arcs, each with a thick stroke and a different cap style (such as butt, round, or square). The arcs are evenly spaced horizontally, and each one is labeled below with the name of its corresponding cap style, helping to visually compare the stroke end variations.","from manim import *

class CapStyleVariants(Scene):
    def construct(self):
        arcs = VGroup(*[
            Arc(
                radius=1,
                start_angle=0,
                angle=TAU / 4,
                stroke_width=20,
                color=GREEN,
                cap_style=cap_style,
            )
            for cap_style in CapStyleType
        ])
        arcs.arrange(RIGHT, buff=1)
        self.add(arcs)
        for arc in arcs:
            label = Text(arc.cap_style.name, font_size=24).next_to(arc, DOWN)
            self.add(label)",Basic,train
,"Display four colored arcs of varying sizes and angles, each paired with a brace that curves along its outer edge:

- A red arc with a left-facing brace.
- A yellow arc with a standard brace.
- A blue arc with a semicircular shape and a brace.
- A green arc forming three-quarters of a circle with a brace.

All arc-brace pairs are arranged in a grid layout with ample spacing and centered on the screen.","from manim import *

class ArcBraceExample(Scene):
    def construct(self):
        arc_1 = Arc(radius=1.5,start_angle=0,angle=2*PI/3).set_color(RED)
        brace_1 = ArcBrace(arc_1,LEFT)
        group_1 = VGroup(arc_1,brace_1)

        arc_2 = Arc(radius=3,start_angle=0,angle=5*PI/6).set_color(YELLOW)
        brace_2 = ArcBrace(arc_2)
        group_2 = VGroup(arc_2,brace_2)

        arc_3 = Arc(radius=0.5,start_angle=-0,angle=PI).set_color(BLUE)
        brace_3 = ArcBrace(arc_3)
        group_3 = VGroup(arc_3,brace_3)

        arc_4 = Arc(radius=0.2,start_angle=0,angle=3*PI/2).set_color(GREEN)
        brace_4 = ArcBrace(arc_4)
        group_4 = VGroup(arc_4,brace_4)

        arc_group = VGroup(group_1, group_2, group_3, group_4).arrange_in_grid(buff=1.5)
        self.add(arc_group.center())",Intermediate,train
"Display an orange dot at the left end of a horizontal line. As the dot moves smoothly along the line to the right, an orange line dynamically extends from the left endpoint to the moving dot, visually tracing its path in real time.","Display an orange dot at the left end of a horizontal line. As the dot moves smoothly along the line to the right, an orange line dynamically extends from the left endpoint to the moving dot, visually tracing its path in real time similar to a filling progress bar.","from manim import *

class MoveAlongPathExample(Scene):
    def construct(self):
        d1 = Dot().set_color(ORANGE)
        l1 = Line(LEFT, RIGHT)
        l2 = VMobject()
        self.add(d1, l1, l2)
        l2.add_updater(lambda x: x.become(Line(LEFT, d1.get_center()).set_color(ORANGE)))
        self.play(MoveAlongPath(d1, l1), rate_func=linear)",Intermediate,train
,"Display a set of coordinate axes with labeled ticks, then plot the curve \( y = \frac{\sin(x)}{e^{2x}} \). From \( x = 0 \) to \( x = 4 \), 30 evenly spaced vertical blue lines are drawn from the x-axis up to the curve, visually illustrating the shape and behavior of the function over that interval.","from manim import *

class GetVerticalLinesToGraph(Scene):
    def construct(self):
        ax = Axes(
            x_range=[0, 8.0, 1],
            y_range=[-1, 1, 0.2],
            axis_config={""font_size"": 24},
        ).add_coordinates()

        curve = ax.plot(lambda x: np.sin(x) / np.e ** 2 * x)

        lines = ax.get_vertical_lines_to_graph(
            curve, x_range=[0, 4], num_lines=30, color=BLUE
        )

        self.add(ax, curve, lines)",Intermediate,train
,"Display two intersecting lines forming an angle at their crossing point. A curved arc marks the angle between them, and a numerical label showing the angle’s value in degrees is placed just above and to the right of the arc.","from manim import *

class GetValueExample(Scene):
    def construct(self):
        line1 = Line(LEFT+(1/3)*UP, RIGHT+(1/3)*DOWN)
        line2 = Line(DOWN+(1/3)*RIGHT, UP+(1/3)*LEFT)

        angle = Angle(line1, line2, radius=0.4)

        value = DecimalNumber(angle.get_value(degrees=True), unit=r""^{\circ}"")
        value.next_to(angle, UR)

        self.add(line1, line2, angle, value)",Basic,train
Display 3D axes and a circle. Set the camera orientation to a specific angle. Begin rotating the camera around the scene at a slow rate. Stop the camera rotation and reset the camera to the original orientation.,Display 3D axes and a circle. Set the camera orientation to a specific angle. Begin rotating the camera around the scene horizontally at a slow rate. Stop the camera rotation and reset the camera to the original orientation.,"from manim import *

class ThreeDCameraRotation(ThreeDScene):
    def construct(self):
        axes = ThreeDAxes()
        circle=Circle()
        self.set_camera_orientation(phi=75 * DEGREES, theta=30 * DEGREES)
        self.add(circle,axes)
        self.begin_ambient_camera_rotation(rate=0.1)
        self.wait()
        self.stop_ambient_camera_rotation()
        self.move_camera(phi=75 * DEGREES, theta=30 * DEGREES)
        self.wait()",Intermediate,train
,"Display a coordinate grid with default x- and y-axes. The x-axis is labeled with a scaled-down LaTeX-rendered label ""x-axis,"" and the y-axis is labeled with a smaller plain text label ""y-axis."" Both labels are positioned near the ends of their respective axes.","from manim import *

class GetAxisLabelsExample(Scene):
    def construct(self):
        ax = Axes()
        labels = ax.get_axis_labels(
            Tex(""x-axis"").scale(0.7), Text(""y-axis"").scale(0.45)
        )
        self.add(ax, labels)",Basic,train
,"Display a group of 15 blue dots randomly scattered and slightly shifted upward. Below them, a red copy of the same dots is shown, but this time the dots are neatly arranged in a row using default spacing. Both groups are centered on the screen, with the blue dots above and the red dots below.","from manim import *

class ArrangeSumobjectsExample(Scene):
    def construct(self):
        s= VGroup(*[Dot().shift(i*0.1*RIGHT*np.random.uniform(-1,1)+UP*np.random.uniform(-1,1)) for i in range(0,15)])
        s.shift(UP).set_color(BLUE)
        s2= s.copy().set_color(RED)
        s2.arrange_submobjects()
        s2.shift(DOWN)
        self.add(s,s2)",Intermediate,train
,"Display the text ""Hello World!"" at the center of the screen, then animate its color gradually fading into red, creating a smooth transition effect.","from manim import *

class FadeToColorExample(Scene):
    def construct(self):
        self.play(FadeToColor(Text(""Hello World!""), color=RED))",Basic,train
,"Display a circle positioned two units to the left of the center. Place a square to the left of the circle with a small gap between them. Then, position a triangle so that its left edge aligns with the left edge of the circle. Show all three shapes on screen and pause for one second.","from manim import *

class MobjectPlacement(Scene):
    def construct(self):
        circle = Circle()
        square = Square()
        triangle = Triangle()

        # place the circle two units left from the origin
        circle.move_to(LEFT * 2)
        # place the square to the left of the circle
        square.next_to(circle, LEFT)
        # align the left border of the triangle to the left border of the circle
        triangle.align_to(circle, LEFT)

        self.add(circle, square, triangle)
        self.wait(1)",Basic,train
,"Display a 4×4 math table with outer borders. The top row and leftmost column serve as headers, with the top-left cell containing a plus sign. The remaining cells show the sums of the corresponding row and column headers.","from manim import *

class MathTableExample(Scene):
    def construct(self):
        t0 = MathTable(
            [[""+"", 0, 5, 10],
            [0, 0, 5, 10],
            [2, 2, 7, 12],
            [4, 4, 9, 14]],
            include_outer_lines=True)
        self.add(t0)",Basic,train
,"Display a square centered on the screen. Rotate the square 45 degrees, then transform it into a circle. Finally, change the circle’s fill to pink with 50% transparency.","from manim import *

class AnimatedSquareToCircle(Scene):
    def construct(self):
        circle = Circle()  # create a circle
        square = Square()  # create a square

        self.play(Create(square))  # show the square on screen
        self.play(square.animate.rotate(PI / 4))  # rotate the square
        self.play(Transform(square, circle))  # transform the square into a circle
        self.play(
            square.animate.set_fill(PINK, opacity=0.5)
        )  # color the circle on screen",Basic,train
,"Display a set of axes. Plot the graph of the function \( f(x) = \frac{k}{x} \) in yellow. Show a blue rectangle with yellow edges that dynamically updates its size based on the value of \( t \). Display a dot that moves along the graph, updating its position as \( t \) changes.","from manim import *

class PolygonOnAxes(Scene):
    def get_rectangle_corners(self, bottom_left, top_right):
        return [
            (top_right[0], top_right[1]),
            (bottom_left[0], top_right[1]),
            (bottom_left[0], bottom_left[1]),
            (top_right[0], bottom_left[1]),
        ]

    def construct(self):
        ax = Axes(
            x_range=[0, 10],
            y_range=[0, 10],
            x_length=6,
            y_length=6,
            axis_config={""include_tip"": False},
        )

        t = ValueTracker(5)
        k = 25

        graph = ax.plot(
            lambda x: k / x,
            color=YELLOW_D,
            x_range=[k / 10, 10.0, 0.01],
            use_smoothing=False,
        )

        def get_rectangle():
            polygon = Polygon(
                *[
                    ax.c2p(*i)
                    for i in self.get_rectangle_corners(
                        (0, 0), (t.get_value(), k / t.get_value())
                    )
                ]
            )
            polygon.stroke_width = 1
            polygon.set_fill(BLUE, opacity=0.5)
            polygon.set_stroke(YELLOW_B)
            return polygon

        polygon = always_redraw(get_rectangle)

        dot = Dot()
        dot.add_updater(lambda x: x.move_to(ax.c2p(t.get_value(), k / t.get_value())))
        dot.set_z_index(10)

        self.add(ax, graph, dot)
        self.play(Create(polygon))
        self.play(t.animate.set_value(10))
        self.play(t.animate.set_value(k / 10))
        self.play(t.animate.set_value(5))",Intermediate,train
,"Display the text “Welcome to” at the center of the screen, followed by the Manim logo banner appearing below it. The text is written with a smooth animation that continues updating as it's being drawn, and after a short pause, the banner expands into view with a quick animation, completing the welcoming scene.","from manim import *

class WelcomeToManim(Scene):
    def construct(self):
        words = Text(""Welcome to"")
        banner = ManimBanner().scale(0.5)
        VGroup(words, banner).arrange(DOWN)

        turn_animation_into_updater(Write(words, run_time=0.9))
        self.add(words)
        self.wait(0.5)
        self.play(banner.expand(), run_time=0.5)",Basic,train
,"Display a set of axes with labels \(\Delta Q\) for the x-axis and \(T[^\circ C]\) for the y-axis. Plot a line graph with points at (0, 20), (8, 0), (38, 0), and (39, -5).","from manim import *

class HeatDiagramPlot(Scene):
    def construct(self):
        ax = Axes(
            x_range=[0, 40, 5],
            y_range=[-8, 32, 5],
            x_length=9,
            y_length=6,
            x_axis_config={""numbers_to_include"": np.arange(0, 40, 5)},
            y_axis_config={""numbers_to_include"": np.arange(-5, 34, 5)},
            tips=False,
        )
        labels = ax.get_axis_labels(
            x_label=Tex(r""$\Delta Q$""), y_label=Tex(r""T[$^\circ C$]"")
        )

        x_vals = [0, 8, 38, 39]
        y_vals = [20, 0, 0, -5]
        graph = ax.plot_line_graph(x_values=x_vals, y_values=y_vals)

        self.add(ax, labels, graph)",Intermediate,train
,"Display two semi-transparent squares: a blue one on the left and a green one on the right. Over two seconds, rotate the blue square 180 degrees using an animation tied to its position, and simultaneously rotate the green square 180 degrees using a direct rotation. Then pause.","from manim import *

class DifferentRotations(Scene):
    def construct(self):
        left_square = Square(color=BLUE, fill_opacity=0.7).shift(2 * LEFT)
        right_square = Square(color=GREEN, fill_opacity=0.7).shift(2 * RIGHT)
        self.play(
            left_square.animate.rotate(PI), Rotate(right_square, angle=PI), run_time=2
        )
        self.wait()",Basic,train
,Display a mathematical expression representing the Taylor series expansion of \( e^x \). All instances of the variable \( x \) in the equation are colored yellow.,"from manim import *

class IncorrectLaTeXSubstringColoring(Scene):
    def construct(self):
        equation = MathTex(
            r""e^x = x^0 + x^1 + \frac{1}{2} x^2 + \frac{1}{6} x^3 + \cdots + \frac{1}{n!} x^n + \cdots""
        )
        equation.set_color_by_tex(""x"", YELLOW)
        self.add(equation)",Basic,train
,"Display a six-pointed star (hexagram) formed by two overlapping triangles—one pointing upward and the other downward. A dot appears and smoothly moves along the outline of the star, tracing its shape over time before disappearing.","from manim import *

import numpy as np

class PolygramExample(Scene):
    def construct(self):
        hexagram = Polygram(
            [[0, 2, 0], [-np.sqrt(3), -1, 0], [np.sqrt(3), -1, 0]],
            [[-np.sqrt(3), 1, 0], [0, -2, 0], [np.sqrt(3), 1, 0]],
        )
        self.add(hexagram)

        dot = Dot()
        self.play(MoveAlongPath(dot, hexagram), run_time=5, rate_func=linear)
        self.remove(dot)
        self.wait()",Basic,train
,"Display a 3D coordinate system with a straight line extending from the origin (0, 0, 0) to the point (2, 2, 2). The line is rendered in 3D space, showing its diagonal orientation across all three axes. The camera is set at a 75° vertical angle and a 30° horizontal angle, providing a tilted perspective that clearly reveals the line’s direction and depth.","from manim import *

class ExampleLine3D(ThreeDScene):
    def construct(self):
        axes = ThreeDAxes()
        line = Line3D(start=np.array([0, 0, 0]), end=np.array([2, 2, 2]))
        self.set_camera_orientation(phi=75 * DEGREES, theta=30 * DEGREES)
        self.add(axes, line)",Basic,train
,"Display a set of coordinate axes with a cyan-colored parametric curve in the shape of a cardioid. The curve is traced using the parametric equations involving exponential and trigonometric functions, forming a heart-like shape that loops around the origin.","from manim import *

class ParametricCurveExample(Scene):
    def construct(self):
        ax = Axes()
        cardioid = ax.plot_parametric_curve(
            lambda t: np.array(
                [
                    np.exp(1) * np.cos(t) * (1 - np.cos(t)),
                    np.exp(1) * np.sin(t) * (1 - np.cos(t)),
                    0,
                ]
            ),
            t_range=[0, 2 * PI],
            color=""#0FF1CE"",
        )
        self.add(ax, cardioid)",Intermediate,train
,"Display a 2×2 table with row and column labels. All four cell entries are colored with randomly chosen bright colors, and the bottom-right cell is additionally rotated upside down.","from manim import *

class GetEntriesExample(Scene):
    def construct(self):
        table = Table(
            [[""First"", ""Second""],
            [""Third"",""Fourth""]],
            row_labels=[Text(""R1""), Text(""R2"")],
            col_labels=[Text(""C1""), Text(""C2"")])
        ent = table.get_entries()
        for item in ent:
            item.set_color(random_bright_color())
        table.get_entries((2,2)).rotate(PI)
        self.add(table)",Basic,train
,"Display a filled square and a triangle side by side, with the square on the left. As the animation begins, the square continuously shifts to the right at a steady pace. Meanwhile, the triangle gradually becomes visible by increasing its fill opacity. The square keeps moving as long as the animation is active.","from manim import *

class ShiftingSquare(Scene):
    def construct(self):
        sq = Square().set_fill(opacity=1)
        tri = Triangle()
        VGroup(sq, tri).arrange(LEFT)

        # construct a square which is continuously
        # shifted to the right
        always_shift(sq, RIGHT, rate=5)

        self.add(sq)
        self.play(tri.animate.set_fill(opacity=1))",Basic,train
,"Display a red 3D helical spring-like curve winding upward along the z-axis, defined by the parametric equations \((1.2 \cos(u), 1.2 \sin(u), 0.05u)\) for \(u\) ranging from \(-3\tau\) to \(5\tau\), overlaid on a 3D coordinate axis. The camera is set to an angled perspective, and the scene appears without animation.","from manim import *

class ThreeDParametricSpring(ThreeDScene):
    def construct(self):
        curve1 = ParametricFunction(
            lambda u: (
                1.2 * np.cos(u),
                1.2 * np.sin(u),
                u * 0.05
            ), color=RED, t_range = (-3*TAU, 5*TAU, 0.01)
        ).set_shade_in_3d(True)
        axes = ThreeDAxes()
        self.add(axes, curve1)
        self.set_camera_orientation(phi=80 * DEGREES, theta=-60 * DEGREES)
        self.wait()",Intermediate,train
,"Display a vertical list of the text “Open Sans” in various font weights, arranged from lightest to heaviest. Each line uses the corresponding weight style (e.g., Thin, Light, Regular, Bold, Black) to visually demonstrate the differences in font thickness. The entire group is scaled down to fit neatly on the screen.","from manim import *

class DifferentWeight(Scene):
    def construct(self):
        import manimpango

        g = VGroup()
        weight_list = dict(
            sorted(
                {
                    weight: manimpango.Weight(weight).value
                    for weight in manimpango.Weight
                }.items(),
                key=lambda x: x[1],
            )
        )
        for weight in weight_list:
            g += Text(weight.name, weight=weight.name, font=""Open Sans"")
        self.add(g.arrange(DOWN).scale(0.5))",Intermediate,train
,"Display a streamlines vector field where each line flows continuously according to a sine and cosine-based function. The streamlines animate smoothly across the screen at a moderate speed, simulating fluid motion for a duration determined by the virtual time and flow speed settings.","from manim import *

class ContinuousMotion(Scene):
    def construct(self):
        func = lambda pos: np.sin(pos[0] / 2) * UR + np.cos(pos[1] / 2) * LEFT
        stream_lines = StreamLines(func, stroke_width=3, max_anchors_per_line=30)
        self.add(stream_lines)
        stream_lines.start_animation(warm_up=False, flow_speed=1.5)
        self.wait(stream_lines.virtual_time / stream_lines.flow_speed)",Intermediate,train
,"Display a graph with five connected nodes initially arranged in a straight horizontal line. After being created, the graph smoothly transitions into a circular layout, repositioning the nodes evenly around a circle while maintaining their connections.","from manim import *

class ChangeGraphLayout(Scene):
    def construct(self):
        G = Graph([1, 2, 3, 4, 5], [(1, 2), (2, 3), (3, 4), (4, 5)],
                  layout={1: [-2, 0, 0], 2: [-1, 0, 0], 3: [0, 0, 0],
                          4: [1, 0, 0], 5: [2, 0, 0]}
                  )
        self.play(Create(G))
        self.play(G.animate.change_layout(""circular""))
        self.wait()",Intermediate,train
,"Display a coordinate axes system with a blue parabola representing the function \( y = \frac{1}{4}x^2 \). At the point where \( x = 2 \), a red secant line is drawn to approximate the slope over an interval of \( dx = 1.0 \). A green horizontal line represents the change in \( x \), labeled “dx = 1.0”, and a vertical line represents the change in \( y \), labeled “dy”. These elements together illustrate the concept of a secant slope on the curve.","from manim import *

class GetSecantSlopeGroupExample(Scene):
    def construct(self):
        ax = Axes(y_range=[-1, 7])
        graph = ax.plot(lambda x: 1 / 4 * x ** 2, color=BLUE)
        slopes = ax.get_secant_slope_group(
            x=2.0,
            graph=graph,
            dx=1.0,
            dx_label=Tex(""dx = 1.0""),
            dy_label=""dy"",
            dx_line_color=GREEN_B,
            secant_line_length=4,
            secant_line_color=RED_D,
        )

        self.add(ax, graph, slopes)",Intermediate,train
,"Display four overlapping objects with different colors and vertical positions, each assigned a specific `z_index` to control their layering:

- A red text reading “z_index = 3” appears at the top and is visually in front of all other objects.
- A solid blue square is layered behind the text.
- A blue LaTeX-style text reading “zIndex = 1” appears below the square and is layered behind it.
- A green filled circle, with no specified `z_index` (defaulting to 0), appears behind all other objects.

The visual stacking order is determined by the `z_index` values, from highest (front) to lowest (back).","from manim import *

class SetZIndex(Scene):
    def construct(self):
        text = Text('z_index = 3', color = PURE_RED).shift(UP).set_z_index(3)
        square = Square(2, fill_opacity=1).set_z_index(2)
        tex = Tex(r'zIndex = 1', color = PURE_BLUE).shift(DOWN).set_z_index(1)
        circle = Circle(radius = 1.7, color = GREEN, fill_opacity = 1) # z_index = 0

        # Displaying order is now defined by z_index values
        self.add(text)
        self.add(square)
        self.add(tex)
        self.add(circle)",Intermediate,train
,"Display the word ""Hello"" in which all letters except the first and last are blue, positioned to the left. Next to it on the right, display the word ""World"" with the letters ""r"" and ""l"" in red.","from manim import *

class Textt2cExample(Scene):
    def construct(self):
        t2cindices = Text('Hello', t2c={'[1:-1]': BLUE}).move_to(LEFT)
        t2cwords = Text('World',t2c={'rl':RED}).next_to(t2cindices, RIGHT)
        self.add(t2cindices, t2cwords)",Basic,train
